Gene Symbol	Alias(es)	Gene Name(s)
MSMB	beta-microseminoprotein; microseminoprotein, beta-; PSP-94,PSP57,PSP94,IGBF,MSP,MSPB,PN44,PRPS,PSP	microseminoprotein beta
MST1R	CDw136,CD136; c-met-related tyrosine kinase; PTK8 protein tyrosine kinase 8,S13 erythroblastosis (avian) oncogene homolog,S13 avian erythroblastosis oncogene homolog	macrophage stimulating 1 receptor
MT1X	MT-1l	metallothionein 1X
MT2A		metallothionein 2A
MTOR	FK506 binding protein 12-rapamycin associated protein 2,rapamycin target protein,FKBP12-rapamycin complex-associated protein 1,FKBP-rapamycin associated protein,rapamycin associated protein FRAP2,dJ576K7.1 (FK506 binding protein 12-rapamycin associated protein 1),rapamycin and FKBP12 target 1,mammalian target of rapamycin; RAFT1,RAPT1,FLJ44809; FK506 binding protein 12-rapamycin associated protein 1,mechanistic target of rapamycin (serine/threonine kinase),mechanistic target of rapamycin	mechanistic target of rapamycin kinase
MTRNR2L1	humanin-like 1	MT-RNR2 like 1
MX1	IFI-78K,MxA,lncMX1-215; interferon-inducible protein p78; myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78),myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	MX dynamin like GTPase 1
MXRA8	limitrin; matrix-remodelling associated 8; DKFZp586E2023	matrix remodeling associated 8
MYC	c-Myc,bHLHe39,MYCC; v-myc avian myelocytomatosis viral oncogene homolog	MYC proto-oncogene, bHLH transcription factor
MYH11	myosin, heavy polypeptide 11, smooth muscle; SMMHC,SMHC	myosin heavy chain 11
MYL9	myosin, light polypeptide 9, regulatory,myosin, light chain 9, regulatory; myosin regulatory light chain 2, smooth muscle isoform,myosin regulatory light chain 1; MYRL2,MLC2,LC20,MRLC1	myosin light chain 9
MZB1	plasma cell-induced ER protein 1,proapoptotic caspase adaptor protein,mesenteric oestrogen-dependent adipose gene- 7; marginal zone B and B1 cell-specific protein; PACAP,MGC29506,HSPC190,pERp1,MEDA-7	marginal zone B and B1 cell specific protein
MZT2A	family with sequence similarity 128, member A; MOZART2A; mitotic-spindle organizing protein associated with a ring of gamma-tubulin 2A	mitotic spindle organizing protein 2A
NANOG	FLJ12581,FLJ40451	Nanog homeobox
NCR1	lymphocyte antigen 94 (mouse) homolog (activating NK-receptor; NK-p46); NK-p46,NKP46,CD335	natural cytotoxicity triggering receptor 1
NDRG1	DRG1,RTP,TDD5,NDR1	N-myc downstream regulated 1
NEAT1	non-protein coding RNA 84,nuclear paraspeckle assembly transcript 1 (non-protein coding); trophoblast derived non-protein coding RNA,nuclear enriched abundant transcript 1,long intergenic non-protein coding RNA 84,virus inducible non-coding RNA; TncRNA,MENepsilon/beta,LINC00084,VINC	nuclear paraspeckle assembly transcript 1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1; Nuclear factor NF-kappa-B p105 subunit; KBF1,p105,NFKB-p50,p50,NF-kappaB,NFkappaB,NF-kB1	nuclear factor kappa B subunit 1
NFKBIA	IKBA,MAD-3,IkappaBalpha; NF-kappa-B inhibitor alpha; nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NFKB inhibitor alpha
NGFR	nerve growth factor receptor (TNFR superfamily, member 16); TNFRSF16,CD271,p75NTR; low affinity nerve growth factor receptor,TNFR superfamily, member 16	nerve growth factor receptor
NKG7	natural killer cell group 7 sequence; GIG1,GMP-17; granule membrane protein 17	natural killer cell granule protein 7
NLRC4	nucleotide-binding oligomerization domain, leucine rich repeat and CARD domain containing 4,NOD-like receptor C4; caspase recruitment domain family, member 12; CLAN1,ipaf,CLANA,CLANB,CLANC,CLAND,CLR2.1,CLAN	NLR family CARD domain containing 4
NLRC5	NOD27,CLR16.1,FLJ21709; nucleotide-binding oligomerization domain, leucine rich repeat and CARD domain containing 5,NOD-like receptor C5	NLR family CARD domain containing 5
NLRP1	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1,systemic lupus erythematosus, vitiligo-related 1; nucleotide-binding oligomerization domain, leucine rich repeat and pyrin domain containing 1; KIAA0926,DKFZp586O1822,CARD7,NAC,CLR17.1,DEFCAP,VAMAS1	NLR family pyrin domain containing 1
NLRP2	FLJ20510,PYPAF2,NBS1,PAN1,CLR19.9; nucleotide-binding oligomerization domain, leucine rich repeat and pyrin domain containing 2; NACHT, leucine rich repeat and PYD containing 2	NLR family pyrin domain containing 2
NLRP3	cold autoinflammatory syndrome 1,deafness, autosomal dominant 34; AGTAVPRL,AII,AVP,FCAS,FCU,NALP3,PYPAF1,MWS,CLR1.1; Cryopyrin,nucleotide-binding oligomerization domain, leucine rich repeat and pyrin domain containing 3	NLR family pyrin domain containing 3
NOD2	caspase recruitment domain family, member 15; nucleotide-binding oligomerization domain, leucine rich repeat and CARD domain containing 2,NOD-like receptor C2,NLR family, CARD domain containing 2; BLAU,CD,PSORAS1,CLR16.3,NLRC2	nucleotide binding oligomerization domain containing 2
NOSIP	CGI-25	nitric oxide synthase interacting protein
NOTCH1	Notch (Drosophila) homolog 1 (translocation-associated),Notch homolog 1, translocation-associated (Drosophila),notch 1	notch receptor 1
NOTCH2	Notch (Drosophila) homolog 2,Notch homolog 2 (Drosophila),notch 2	notch receptor 2
NOTCH3	CASIL; Notch (Drosophila) homolog 3,Notch homolog 3 (Drosophila),notch 3	notch receptor 3
NPPB	natriuretic peptide precursor B	natriuretic peptide B
NPPC	natriuretic peptide precursor C; CNP	natriuretic peptide C
NPR1	guanylate cyclase A; GUCY2A,ANPa; atrionatriuretic peptide receptor A,natriuretic peptide receptor A	natriuretic peptide receptor 1
NPR2	guanylate cyclase 2B,guanylyl cyclase B; acromesomelic dysplasia, Maroteaux type,atrionatriuretic peptide receptor B,natriuretic peptide receptor B; GUCY2B,ANPb,GC-B	natriuretic peptide receptor 2
NPR3	guanylate cyclase C; GUCY2B,FLJ14054; chromosome 5 open reading frame 23,atrionatriuretic peptide receptor C,natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C),natriuretic peptide receptor C	natriuretic peptide receptor 3
NR1H2	liver X receptor-beta; NER,NER-I,RIP15,LXR-b,LXRb; ubiquitously-expressed nuclear receptor,nuclear receptor subfamily 1, group H, member 2	nuclear receptor subfamily 1 group H member 2
NR1H3	LXR-a,RLD-1,LXRa; nuclear receptor subfamily 1, group H, member 3; liver X receptor-alpha	nuclear receptor subfamily 1 group H member 3
NR1H4	FXR,RIP14,HRR1,HRR-1; nuclear receptor subfamily 1, group H, member 4; farnesoid X receptor,bile acid receptor	nuclear receptor subfamily 1 group H member 4
NR3C1	nuclear receptor subfamily 3, group C, member 1,nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor); GR; glucocorticoid receptor	nuclear receptor subfamily 3 group C member 1
NRG1	NRG1 intronic transcript 2 (non-protein coding); HRG,NDF,GGF	neuregulin 1
NRG4	HRG4	neuregulin 4
NRIP3	chromosome 11 open reading frame 14	nuclear receptor interacting protein 3
NRXN1	KIAA0578,Hs.22998	neurexin 1
NRXN3	chromosome 14 open reading frame 60; KIAA0743	neurexin 3
NTRK2	neurotrophic tyrosine kinase, receptor, type 2; TRKB; BDNF/NT-3 growth factors receptor	neurotrophic receptor tyrosine kinase 2
OAS1	2',5'-oligoadenylate synthetase 1 (40-46 kD),2'-5'-oligoadenylate synthetase 1, 40/46kDa; OIASI,IFI-4; 2'-5' oligoadenylate synthase 1	2'-5'-oligoadenylate synthetase 1
OAS2	2'-5'-oligoadenylate synthetase 2 (69-71 kD),2'-5'-oligoadenylate synthetase 2, 69/71kDa	2'-5'-oligoadenylate synthetase 2
OAS3	2'-5'-oligoadenylate synthetase 3 (100 kD),2'-5'-oligoadenylate synthetase 3, 100kDa	2'-5'-oligoadenylate synthetase 3
OASL	2'-5'-oligoadenylate synthetase-like; TRIP14,p59OASL,OASL1	2'-5'-oligoadenylate synthetase like
OLFM4	OlfD,GW112,GC1	olfactomedin 4
OLR1	LOX-1,SCARE1,CLEC8A; oxidised low density lipoprotein (lectin-like) receptor 1	oxidized low density lipoprotein receptor 1
OSM	MGC20461	oncostatin M
OSMR	OSMRB,OSMRbeta; Oncostatin-M-specific receptor subunit beta	oncostatin M receptor
OXER1	5-oxo-ETE acid G-protein-coupled receptor 1,OXE receptor; GPCR,TG1019,GPR170	oxoeicosanoid receptor 1
OXGR1	2-oxoglutarate receptor 1,alpha-ketoglutarate receptor 1; P2RY15,P2Y15,aKGR; G protein-coupled receptor 80,oxoglutarate (alpha-ketoglutarate) receptor 1	oxoglutarate receptor 1
P2RX5	P2X5,LRH-1; purinergic receptor P2X, ligand-gated ion channel, 5	purinergic receptor P2X 5
P2RY12	purinergic receptor P2Y, G-protein coupled, 12; P2Y12,SP1999,HORK3	purinergic receptor P2Y12
PARP1	PARP,ARTD1; ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase),poly (ADP-ribose) polymerase family, member 1	poly(ADP-ribose) polymerase 1
PCNA		proliferating cell nuclear antigen
PDCD1	CD279,PD1,hSLE1,PD-1; systemic lupus erythematosus susceptibility 2	programmed cell death 1
PDCD1LG2	B7 dendritic cell molecule; PD-L2,Btdc,PDL2,bA574F11.2,CD273,B7-DC	programmed cell death 1 ligand 2
PDGFA	PDGF A-chain,platelet-derived growth factor alpha chain; platelet-derived growth factor alpha polypeptide; PDGF1,PDGF-A	platelet derived growth factor subunit A
PDGFB	oncogene SIS,becaplermin; platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog),platelet-derived growth factor beta polypeptide; SSV	platelet derived growth factor subunit B
PDGFC	SCDGF,fallotein	platelet derived growth factor C
PDGFD	SCDGF-B,MSTP036,IEGF; spinal cord derived growth factor B	platelet derived growth factor D
PDGFRA	CD140a,PDGFR2,GAS9; platelet-derived growth factor receptor, alpha polypeptide	platelet derived growth factor receptor alpha
PDGFRB	JTK12,CD140b,PDGFR1; platelet-derived growth factor receptor, beta polypeptide	platelet derived growth factor receptor beta
PECAM1	CD31; CD31 antigen; platelet/endothelial cell adhesion molecule 1	platelet and endothelial cell adhesion molecule 1
PF4	SCYB4,CXCL4; chemokine (C-X-C motif) ligand 4	platelet factor 4
PGF	placenta growth factor; PlGF-2,SHGC-10760,D12S1900,PIGF,PLGF,PlGF; placental growth factor-like,placental growth factor, vascular endothelial growth factor-related protein	placental growth factor
PGR	PR,NR3C3	progesterone receptor
PHLDA2	IPL,BWR1C,HLDA2; tumor suppressing subtransferable candidate 3,pleckstrin homology-like domain, family A, member 2	pleckstrin homology like domain family A member 2
PIGR		polymeric immunoglobulin receptor
PLA2R1	PLA2G1R,PLA2IR,PLA2-R,CLEC13C; phospholipase A2 receptor 1, 180kD,phospholipase A2 receptor 1, 180kDa	phospholipase A2 receptor 1
PLAC8	placenta specific 8; onzin,C15	placenta associated 8
PNOC	nocistatin,orphanin FQ; PPNOC,N/OFQ,NOP	prepronociceptin
POU5F1	POU domain class 5, transcription factor 1; OCT3,Oct4,MGC22487	POU class 5 homeobox 1
PPARA	hPPAR,NR1C1; peroxisome proliferative activated receptor, alpha,peroxisome proliferator-activated receptor alpha	peroxisome proliferator activated receptor alpha
PPARD	NUC1,NUCII,FAAR,NR1C2; peroxisome proliferative activated receptor, delta,peroxisome proliferator-activated receptor delta	peroxisome proliferator activated receptor delta
PPARG	PPARG1,PPARG2,NR1C3,PPARgamma; peroxisome proliferative activated receptor, gamma,peroxisome proliferator-activated receptor gamma	peroxisome proliferator activated receptor gamma
PPBP	SCYB7,TGB,NAP-2-L1,LA-PF4,MDGF,LDGF,Beta-TG,CTAP3,CXCL7,PBP,b-TG1,TGB1,CTAPIII,NAP-2; platelet basic protein,beta-thromboglobulin,connective tissue-activating peptide III,neutrophil-activating peptide-2,chemokine (C-X-C motif) ligand 7	pro-platelet basic protein
PRF1	Perforin,perforin 1 (preforming protein); PFP,P1,HPLH2; perforin 1 (pore forming protein)	perforin 1
PROK2	PK2,BV8,MIT1,KAL4; protein Bv8 homolog	prokineticin 2
PROKR1	PKR1,ZAQ,GPR73a; G protein-coupled receptor 73	prokineticin receptor 1
PRSS2	trypsin 2; TRY2; protease, serine 2	serine protease 2
PSAP	sphingolipid activator protein-1,sphingolipid activator protein-2; variant Gaucher disease and variant metachromatic leukodystrophy,saposin-A,saposin-B,saposin-C,saposin-D	prosaposin
PSCA		prostate stem cell antigen
PTGDR2	CRTH2,CD294,DP2; G protein-coupled receptor 44; chemoattractant receptor homologous molecule expressed on T helper type 2 cells	prostaglandin D2 receptor 2
PTGDS	PGDS,L-PGDS; lipocalin-type prostaglandin D synthase; prostaglandin D2 synthase (21kD, brain),prostaglandin D2 synthase 21kDa (brain)	prostaglandin D2 synthase
PTGES	microsomal glutathione S-transferase 1-like 1,tumor protein p53 inducible protein 12,p53-induced gene 12,microsomal prostaglandin E synthase-1,glutathione S-transferase 1-like 1,MGST1-like 1; MGST-IV,PIG12,MGST1-L1,TP53I12	prostaglandin E synthase
PTGES2	chromosome 9 open reading frame 15; FLJ14038	prostaglandin E synthase 2
PTGES3	p23,TEBP,cPGES; prostaglandin E synthase 3 (cytosolic)	prostaglandin E synthase 3
PTGIS	PGIS,CYP8A1; prostaglandin I2 (prostacyclin) synthase; cytochrome P450, family 8, subfamily A, polypeptide 1,prostacyclin synthase	prostaglandin I2 synthase
PTGS1	COX1,PGHS-1,PTGHS; prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase); cyclooxygenase-1	prostaglandin-endoperoxide synthase 1
PTGS2	COX2; prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase); prostaglandin G/H synthase 2,cyclooxygenase 2	prostaglandin-endoperoxide synthase 2
PTHLH	osteostatin,parathyroid hormone-like hormone preproprotein,parathyroid hormone-related protein preproprotein; PTHRP,HHM,PLP,PTHR	parathyroid hormone like hormone
PTK2	FAK,FADK,FAK1,PPP1R71; protein phosphatase 1, regulatory subunit 71; PTK2 protein tyrosine kinase 2	protein tyrosine kinase 2
PTK6	BRK; PTK6 protein tyrosine kinase 6	protein tyrosine kinase 6
PTPRC	LCA,T200,GP180	protein tyrosine phosphatase receptor type C
PTPRCAP	LPAP,CD45-AP	protein tyrosine phosphatase receptor type C associated protein
PTTG1	PTTG,HPTTG,EAP1,securin; pituitary tumor-transforming 1; ESP1-associated protein 1,tumor-transforming protein 1	PTTG1 regulator of sister chromatid separation, securin
QRFPR	peptide P518 receptor; G protein-coupled receptor 103	pyroglutamylated RFamide peptide receptor
RAC1	TC-25,p21-Rac1,Rac-1; ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	Rac family small GTPase 1
RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2); EN-7	Rac family small GTPase 2
RAD51	HsRad51,HsT16930,BRCC5,FANCR; BRCA1/BRCA2-containing complex, subunit 5; RAD51 (S. cerevisiae) homolog (E coli RecA homolog),RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae),RAD51 homolog (S. cerevisiae)	RAD51 recombinase
RAMP1		receptor activity modifying protein 1
RAMP2		receptor activity modifying protein 2
RAMP3		receptor activity modifying protein 3
RARA	retinoic acid receptor, alpha; RAR,NR1B1	retinoic acid receptor alpha
RARB	HAP,NR1B2,RRB2; retinoic acid receptor, beta	retinoic acid receptor beta
RARG	RARC,NR1B3; retinoic acid receptor, gamma	retinoic acid receptor gamma
RARRES1	retinoic acid receptor responder (tazarotene induced) 1; TIG1,LXNL; latexin-like	retinoic acid receptor responder 1
RARRES2	retinoic acid receptor responder (tazarotene induced) 2; chemerin; TIG2,HP10433	retinoic acid receptor responder 2
RB1	prepro-retinoblastoma-associated protein,protein phosphatase 1, regulatory subunit 130; osteosarcoma,retinoblastoma 1; RB,PPP1R130	RB transcriptional corepressor 1
RBPJ	recombining binding protein suppressor of hairless (Drosophila); SUH,IGKJRB,RBPJK,KBF2,RBP-J,CBF1; suppressor of hairless homolog (Drosophila)	recombination signal binding protein for immunoglobulin kappa J region
REG1A	regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein); pancreatic stone protein,pancreatic thread protein; PSP,PTP,PSPS,PSPS1	regenerating family member 1 alpha
RELA	nuclear factor of kappa light polypeptide gene enhancer in B-cells 3,v-rel avian reticuloendotheliosis viral oncogene homolog A; p65	RELA proto-oncogene, NF-kB subunit
RELT	receptor expressed in lymphoid tissues; tumor necrosis factor receptor superfamily, member 19-like,RELT tumor necrosis factor receptor; FLJ14993	RELT TNF receptor
RGCC	response gene to complement 32; chromosome 13 open reading frame 15; bA157L14.2,RGC-32,RGC32	regulator of cell cycle
RGS1	1R20,IR20,BL34; regulator of G-protein signalling 1,regulator of G-protein signaling 1	regulator of G protein signaling 1
RGS2	regulator of G-protein signalling 2, 24kD,regulator of G-protein signalling 2, 24kDa,regulator of G-protein signaling 2, 24kDa,regulator of G-protein signaling 2	regulator of G protein signaling 2
RGS5	regulator of G-protein signalling 5,regulator of G-protein signaling 5	regulator of G protein signaling 5
RNF43	FLJ20315,DKFZp781H0392,URCC	ring finger protein 43
ROR1		receptor tyrosine kinase like orphan receptor 1
RORA	RAR-related orphan receptor A; RZRA,ROR1,ROR2,ROR3,NR1F1	RAR related orphan receptor A
RPL21	L21,FLJ27458,MGC71252,MGC104274,MGC104275,DKFZp686C06101; 60S ribosomal protein L21	ribosomal protein L21
RPL22	EAP,L22	ribosomal protein L22
RPL32	L32	ribosomal protein L32
RPL34	L34	ribosomal protein L34
RPL37	L37; 60S ribosomal protein L37a	ribosomal protein L37
RPS4Y1	ribosomal protein S4Y,40S ribosomal protein S4, Y; MGC5070,MGC119100,S4; ribosomal protein S4, Y-linked	ribosomal protein S4 Y-linked 1
RSPO1	R-spondin homolog (Xenopus laevis); FLJ40906,RSPONDIN	R-spondin 1
RSPO2	R-spondin 2 homolog (Xenopus laevis); MGC35555	R-spondin 2
RSPO3	FLJ14440; thrombospondin, type I, domain containing 2,R-spondin 3 homolog (Xenopus laevis)	R-spondin 3
RUNX3	AML2,PEBP2A3; runt-related transcription factor 3,runt related transcription factor 3	RUNX family transcription factor 3
RXRA	retinoid X receptor, alpha; nuclear receptor subfamily 2 group B member 1; NR2B1	retinoid X receptor alpha
RXRB	nuclear receptor subfamily 2 group B member 2; NR2B2,H-2RIIBP,RCoR-1; retinoid X receptor, beta	retinoid X receptor beta
RYK	JTK5A protein tyrosine kinase,RYK receptor-like tyrosine kinase; D3S3195,RYK1,JTK5	receptor like tyrosine kinase
S100A10	S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11)); P11,42C,CLP11; annexin II tetramer (AIIt) p11 subunit,calpactin I	S100 calcium binding protein A10
S100A2	S100 calcium-binding protein A2; CAN19	S100 calcium binding protein A2
S100A4	P9KA,18A2,PEL98,42A,FSP1; fibroblast-specific protein-1,calvasculin,murine placental homolog; metastasin 1,calcium placental protein,S100 calcium-binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	S100 calcium binding protein A4
S100A6	2A9,PRA,CABP; calcyclin,S100 calcium-binding protein A6 (calcyclin)	S100 calcium binding protein A6
S100A8	P8,MRP8,60B8AG,CGLA; calgranulin A,S100 calcium-binding protein A8 (calgranulin A)	S100 calcium binding protein A8
S100A9	calgranulin B,S100 calcium-binding protein A9 (calgranulin B); P14,MIF,NIF,LIAG,MRP14,MAC387,60B8AG,CGLB	S100 calcium binding protein A9
S100B	S100beta; S100 calcium binding protein, beta (neural)	S100 calcium binding protein B
S100P	S100 calcium-binding protein P	S100 calcium binding protein P
SAA1	PIG4,TP53I4	serum amyloid A1
SAA2		serum amyloid A2
SAT1	spermidine/spermine N1-acetyltransferase; diamine N-acetyltransferase 1; SSAT	spermidine/spermine N1-acetyltransferase 1
SCG5	secretory granule, neuroendocrine protein 1 (7B2 protein); prohormone convertase chaperone; 7B2,SgV	secretogranin V
SCGB3A1	UGRP2,HIN-1,HIN1,LU105,PnSP-2; cytokine high in normal-1,pneumo secretory protein 2	secretoglobin family 3A member 1
SEC23A	Sec23 (S. cerevisiae) homolog A,Sec23 homolog A (S. cerevisiae),Sec23 homolog A, COPII coat complex component	SEC23 homolog A, COPII coat complex component
SEC61G	SSS1; Sec61 gamma subunit	SEC61 translocon subunit gamma
SELENOP	SeP,SELP,SEPP; selenoprotein P, plasma, 1	selenoprotein P
SELL	LSEL,LAM1,LAM-1,hLHRc,Leu-8,Lyam-1,PLNHR,CD62L; lymphocyte adhesion molecule 1	selectin L
SELPLG	PSGL-1,CD162	selectin P ligand
SERPINA1	AAT,A1A,PI1,alpha-1-antitrypsin,A1AT,alpha1AT; serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1,serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1; protease inhibitor 1 (anti-elastase), alpha-1-antitrypsin	serpin family A member 1
SERPINA3	alpha-1-antichymotrypsin,serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3,serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3; ACT	serpin family A member 3
SERPINB5	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5,serpin peptidase inhibitor, clade B (ovalbumin), member 5; protease inhibitor 5 (maspin); maspin	serpin family B member 5
SERPINH1	collagen binding protein 1; serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 2,serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1),serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1); HSP47,colligen	serpin family H member 1
SFN	YWHAS; 14-3-3 sigma	stratifin
SIGIRR	single immunoglobulin domain IL1R1 related; single immunoglobulin and toll-interleukin 1 receptor (TIR) domain; TIR8,IL-1R8	single Ig and TIR domain containing
SLC2A1	DYT18,DYT9; human T-cell leukemia virus (I and II) receptor,choreoathetosis/spasticity, episodic (paroxysmal choreoathetosis/spasticity),solute carrier family 2 (facilitated glucose transporter), member 1	solute carrier family 2 member 1
SLC2A4	solute carrier family 2 (facilitated glucose transporter), member 4	solute carrier family 2 member 4
SLC40A1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 3,solute carrier family 40 (iron-regulated transporter), member 1; MTP1,IREG1,FPN1,HFE4; ferroportin 1	solute carrier family 40 member 1
SLPI	antileukoproteinase; secretory leukocyte protease inhibitor (antileukoproteinase); HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4	secretory leukocyte peptidase inhibitor
SMAD2	MAD, mothers against decapentaplegic homolog 2 (Drosophila),SMAD, mothers against DPP homolog 2 (Drosophila); MADR2,JV18-1	SMAD family member 2
SMAD3	JV15-2,HsT17436; MAD, mothers against decapentaplegic homolog 3 (Drosophila),SMAD, mothers against DPP homolog 3 (Drosophila)	SMAD family member 3
SMAD4	DPC4; MAD, mothers against decapentaplegic homolog 4 (Drosophila),SMAD, mothers against DPP homolog 4 (Drosophila)	SMAD family member 4
SMARCB1	BAF47,Ini1,Snr1,hSNFS,Sfh1p,RDT,PPP1R144,SNF5; sucrose nonfermenting, yeast, homolog-like 1,integrase interactor 1,malignant rhabdoid tumor suppressor,protein phosphatase 1, regulatory subunit 144	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
SMO	smoothened (Drosophila) homolog,smoothened homolog (Drosophila),smoothened, seven transmembrane spanning receptor,smoothened, frizzled family receptor; frizzled family member 11; FZD11	smoothened, frizzled class receptor
SNAI1	snail 1 (drosophila homolog), zinc finger protein,snail homolog 1 (Drosophila),snail family zinc finger 1; SNA,SLUGH2,SNAH,SNAIL1,SNAIL	snail family transcriptional repressor 1
SNAI2	slug homolog, zinc finger protein (chicken),snail homolog 2 (Drosophila),snail family zinc finger 2; SLUGH1,SNAIL2,SLUGH	snail family transcriptional repressor 2
SOD1	amyotrophic lateral sclerosis 1 (adult),superoxide dismutase 1, soluble; IPOA	superoxide dismutase 1
SOD2	gastric cancer–associated lncRNA 1; superoxide dismutase 2, mitochondrial; GClnc1	superoxide dismutase 2
SOSTDC1	DKFZp564D206,USAG1,DAND7; ectodin,wise	sclerostin domain containing 1
SOX2	SRY (sex determining region Y)-box 2,SRY-box 2	SRY-box transcription factor 2
SOX4	SRY (sex determining region Y)-box 4,SRY-box 4	SRY-box transcription factor 4
SOX9	campomelic dysplasia, autosomal sex-reversal,SRY (sex determining region Y)-box 9,SRY-box 9; SRA1	SRY-box transcription factor 9
SPARCL1	MAST9; SPARC-like 1 (mast9, hevin); hevin	SPARC like 1
SPINK1	serine protease inhibitor, Kazal type 1; Spink3,PCTT,PSTI,TATI	serine peptidase inhibitor Kazal type 1
SPOCK2	KIAA0275,testican-2; sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2,SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2
SPP1	BSPI,ETA-1; osteopontin,bone sialoprotein I; early T-lymphocyte activation 1	secreted phosphoprotein 1
SPRY2	sprouty (Drosophila) homolog 2,sprouty homolog 2 (Drosophila); hSPRY2	sprouty RTK signaling antagonist 2
SPRY4	sprouty homolog 4 (Drosophila)	sprouty RTK signaling antagonist 4
SQSTM1	Paget disease of bone 3,oxidative stress induced like; autophagy receptor p62; p62,p60,p62B,A170	sequestosome 1
SRC	v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog; ASV,c-src	SRC proto-oncogene, non-receptor tyrosine kinase
SREBF1	SREBP1,bHLHd1,SREBP-1c,SREBP1a	sterol regulatory element binding transcription factor 1
SRGN	PPG; proteoglycan 1, secretory granule; serglycin proteoglycan	serglycin
SST	SMST,SST1; somatostatin-14,somatostatin-28,prepro-somatostatin	somatostatin
ST6GAL1	sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase),ST6 beta-galactosamide alpha-2,6-sialyltranferase 1,ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1; ST6Gal I	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
ST6GALNAC3	sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) C,ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3,ST6 GalNAc alpha-2,6-sialyltransferase 3; ST6GALNAC III	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
STAT1	STAT91,ISGF-3; transcription factor ISGF-3 components p91/p84; signal transducer and activator of transcription 1, 91kD,signal transducer and activator of transcription 1, 91kDa	signal transducer and activator of transcription 1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor); APRF	signal transducer and activator of transcription 3
STAT4		signal transducer and activator of transcription 4
STAT5A	MGF	signal transducer and activator of transcription 5A
STAT5B		signal transducer and activator of transcription 5B
STAT6	D12S1644,IL-4-STAT; signal transducer and activator of transcription 6, interleukin-4 induced	signal transducer and activator of transcription 6
STMN1	SMN,OP18,PR22,PP19,PP17,Lag,FLJ32206; chromosome 1 open reading frame 215,stathmin 1/oncoprotein 18; oncoprotein 18	stathmin 1
SUCNR1	G protein-coupled receptor 91	succinate receptor 1
SYK	spleen tyrosine kinase	spleen associated tyrosine kinase
TACSTD2	membrane component chromosome 1 surface marker 1; TROP2,GA733-1,EGP-1; epithelial glycoprotein-1,trophoblast cell surface antigen 2	tumor associated calcium signal transducer 2
TAGLN	SM22-alpha,transgelin variant 2; SM22,WS3-10,TAGLN1,SMCC,DKFZp686P11128	transgelin
TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP); PSF1,RING4,D6S114E	transporter 1, ATP binding cassette subfamily B member
